1	3.1	0.31
2	4.2	0.42
3	5.2	0.52
4	3.4	0.34
5	2.9	0.29
6	5.1	0.51
7	4.8	0.48
8	3.7	0.37
9	6	0.6
10	5.8	0.58
11	4.9	0.49
12	3.8	0.38
13	5.2	0.52
14	4.9	0.49
15	3.6	0.36
16	3.2	0.32
17	5	0.5
18	5.2	0.52
19	5.3	0.53
20	4.4	0.44
21	3.1	0.31
22	4.2	0.42
23	5.2	0.52
24	3.4	0.34
25	2.9	0.29
26	5.1	0.51
27	4.8	0.48
28	3.7	0.37
29	6	0.6
30	5.8	0.58
31	4.9	0.49
32	3.8	0.38
33	5.2	0.52
34	4.9	0.49
35	3.6	0.36
36	3.2	0.32
37	5	0.5
38	5.2	0.52
39	5.3	0.53
40	4.4	0.44
41	3.1	0.31
42	4.2	0.42
43	5.2	0.52
44	3.4	0.34
45	2.9	0.29
46	5.1	0.51
47	4.8	0.48
48	3.7	0.37
49	6	0.6
50	5.8	0.58
51	4.9	0.49
52	3.8	0.38
53	5.2	0.52
54	4.9	0.49
55	3.6	0.36
56	3.2	0.32
57	5	0.5
58	5.2	0.52
59	5.3	0.53
60	4.4	0.44
61	3.1	0.31
62	4.2	0.42
63	5.2	0.52
64	3.4	0.34
65	2.9	0.29
66	5.1	0.51
67	4.8	0.48
68	3.7	0.37
69	6	0.6
70	5.8	0.58
71	4.9	0.49
72	3.8	0.38
73	5.2	0.52
74	4.9	0.49
75	3.6	0.36
76	3.2	0.32
77	5	0.5
78	5.2	0.52
79	5.3	0.53
80	4.4	0.44
81	3.1	0.31
82	4.2	0.42
83	5.2	0.52
84	3.4	0.34
85	2.9	0.29
86	5.1	0.51
87	4.8	0.48
88	3.7	0.37
89	6	0.6
90	5.8	0.58
91	4.9	0.49
92	3.8	0.38
93	5.2	0.52
94	4.9	0.49
95	3.6	0.36
96	3.2	0.32
97	5	0.5
98	5.2	0.52
99	5.3	0.53
100	4.4	0.44
